codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
BAR-D25F33;Ácido ascórbico (vitamina C) 100 mg/mL-5 mL - ampola;Ácido ascórbico (vitamina C);100 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-B2EA2E;Ácido tranexâmico 50 mg-5 mL - ampola;Ácido tranexâmico;50 mg;;quebra automática incerta · via de administração não inferida
BAR-719C0D;Adenosina 3 mg/mL -2 mL - ampola;Adenosina;3 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-9EA173;Adrenalina 1 mg - 1 mL - ampola;Adrenalina;1 mg;;quebra automática incerta · via de administração não inferida
BAR-F6A78D;Água Destilada 10 mL - ampola;Água Destilada;10 mL;;quebra automática incerta · via de administração não inferida
BAR-ADA8EF;Água Destilada 500 mL - ampola;Água Destilada;500 mL;;quebra automática incerta · via de administração não inferida
BAR-09D131;Alteplase 50 mg - frasco/ampola;Alteplase;50 mg;;quebra automática incerta · via de administração não inferida
BAR-35E569;Aminofilina 24 mg/mL-10 mL - ampola;Aminofilina;24 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-41EE92;Amiodarona cloridrato 50 mg/mL - 3 mL - ampola;Amiodarona cloridrato;50 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-66EA5D;Amoxicilina + Clavulanato de Potássio 1 g EV - ampola;Amoxicilina + Clavulanato de Potássio;1 g;;quebra automática incerta · via de administração não inferida
BAR-930813;Ampicilina 1 g - ampola;Ampicilina;1 g;;quebra automática incerta · via de administração não inferida
BAR-F97345;Atropina sulfato 0,25 mg - 1 mL - ampola;Atropina sulfato;0,25 mg;;quebra automática incerta · via de administração não inferida
BAR-E2961F;Benzilpenicilina Benzatina 1.200.000 UI - frasco/ampola;Benzilpenicilina Benzatina;1.200.000 UI;;quebra automática incerta · via de administração não inferida
BAR-DE8FE0;Benzilpenicilina Potássica 6.000.000 UI - frasco/ampola;Benzilpenicilina Potássica;6.000.000 UI;;quebra automática incerta · via de administração não inferida
BAR-EAC484;Bicarbonato de Sódio 8,4%- 250 mL - ampola;Bicarbonato de Sódio;8,4%;;quebra automática incerta · via de administração não inferida
BAR-EB4A42;Bicarbonato de Sódio 8,4%-10 mL - ampola;Bicarbonato de Sódio;8,4%;;quebra automática incerta · via de administração não inferida
BAR-93B134;Biperideno 5 mg/1 mL - ampola;Biperideno;5 mg/1 mL;;quebra automática incerta · via de administração não inferida
BAR-55CDAB;Bromoprida 5 mg/mL-2 mL - ampola;Bromoprida;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-A95C43;Carvão ativado pote 30 g - pó;Carvão ativado pote;30 g;pó;via de administração não inferida
BAR-1BC03C;Cetoprofeno I.m 50 mg/mL-2 mL - ampola;Cetoprofeno I.m;50 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-FAF088;Cimetidina 150 mg/mL 12 mL - ampola;Cimetidina;150 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-7A509A;Ciprofloxacino 2 mL/100 mL - frasco;Ciprofloxacino;2 mL;;quebra automática incerta · via de administração não inferida
BAR-F7E817;Clindamicina, Fosfato 150 mg/mL AMP 4 mL - ampola;Clindamicina, Fosfato;150 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-36D122;Clonazepam 2,5 mg/mL-20 mL - gotas;Clonazepam;2,5 mg/mL;gotas;via de administração não inferida
BAR-3388EE;Clonidina 150 mcg/mL 1 mL - ampola;Clonidina;150 mcg/mL;;quebra automática incerta · via de administração não inferida
BAR-27AAD6;Cloreto de Magnesio 10% AMP 10 mL - ampola;Cloreto de Magnesio;10%;;quebra automática incerta · via de administração não inferida
BAR-7114E0;Cloreto de Potássio 10% -10 mL - ampola;Cloreto de Potássio;10%;;quebra automática incerta · via de administração não inferida
BAR-A850FF;Cloreto de Potássio 6% -100 mL - frasco;Cloreto de Potássio;6%;;quebra automática incerta · via de administração não inferida
BAR-A71324;Cloreto de Sódio 0,9% - 100 mL - bolsa;Cloreto de Sódio;0,9%;;quebra automática incerta · via de administração não inferida
BAR-628C04;Cloreto de Sódio 0,9% - 250 mL - bolsa;Cloreto de Sódio;0,9%;;quebra automática incerta · via de administração não inferida
BAR-8D956E;Cloreto de Sódio 0,9% - 500 mL - bolsa;Cloreto de Sódio;0,9%;;quebra automática incerta · via de administração não inferida
BAR-952478;Cloreto de Sódio 10% - 10 mL - ampola;Cloreto de Sódio;10%;;quebra automática incerta · via de administração não inferida
BAR-CD3786;Cloreto de Sódio 20% - 10 mL - ampola;Cloreto de Sódio;20%;;quebra automática incerta · via de administração não inferida
BAR-E01B37;Clorpromazina 5 mg/mL-5 mL mL - ampola;Clorpromazina;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-069BE9;Deslanosídeo 0,2 mg/2 mL - ampola;Deslanosídeo;0,2 mg/2 mL;;quebra automática incerta · via de administração não inferida
BAR-0357FB;Dexametasona fosfato 4 mg/2,5 mL - ampola;Dexametasona fosfato;4 mg/2,5 mL;;quebra automática incerta · via de administração não inferida
BAR-B84BD6;Diazepam 5 mg/mL - 2 mL - ampola;Diazepam;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-E7EA0E;Diclofenaco Sódico 25 mg - 3 mL - ampola;Diclofenaco Sódico;25 mg;;quebra automática incerta · via de administração não inferida
BAR-CABFAE;Dieta Fresubin 1.2 Hp Fibre Eb 1000ml - frasco;Dieta Fresubin 1.2 Hp Fibre Eb;1000ml;;quebra automática incerta · via de administração não inferida
BAR-333147;Dieta Fresubin Energy Frutas - frasco;Dieta Fresubin Energy Frutas - frasco;;;quebra automática incerta · via de administração não inferida
BAR-A34700;Dieta FRESUBIN ORIGINAL 100 mL - frasco;Dieta FRESUBIN ORIGINAL;100 mL;;quebra automática incerta · via de administração não inferida
BAR-9BC48B;Dipirona Sódica 500 mg/mL - 10 mL - gotas;Dipirona Sódica;500 mg/mL;gotas;via de administração não inferida
BAR-E3ADA8;Dipirona Sódica 500 mg/mL- 2 mL - ampola;Dipirona Sódica;500 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-96C1C7;Dispositivo intra uterino (DIU) - DIU com Cobre modelo T 380 mm2;Dispositivo intra uterino (DIU) - DIU com Cobre modelo T 380 mm2;;;quebra automática incerta · via de administração não inferida
BAR-C02AF5;Dobutamina 250 mg - 20 mL - ampola;Dobutamina;250 mg;;quebra automática incerta · via de administração não inferida
BAR-2FFE93;Dopamina 5 mg/mL - 10 mL - ampola;Dopamina;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-7A2579;Efedrina 50 mg - 10 mL - ampola;Efedrina;50 mg;;quebra automática incerta · via de administração não inferida
BAR-B2504B;Efedrina 50 mg/1 mL - ampola;Efedrina;50 mg/1 mL;;quebra automática incerta · via de administração não inferida
BAR-1BC818;Enfuvirtida - pó liofílico para injetável 90 mg/mL;Enfuvirtida;90 mg/mL;pó;via de administração não inferida
BAR-0852E9;Enoxaparina sódica 20 mg -2,2 mL - seringa;Enoxaparina sódica;20 mg;;quebra automática incerta · via de administração não inferida
BAR-A88DA0;Enoxaparina sódica 40 mg - 0,4 mL - seringa;Enoxaparina sódica;40 mg;;quebra automática incerta · via de administração não inferida
BAR-3E775D;Enoxaparina sódica 60 mg - 0,6 mL - seringa;Enoxaparina sódica;60 mg;;quebra automática incerta · via de administração não inferida
BAR-19F89F;Epinefrina bitartarato 0,001 mg-mL - ampola;Epinefrina bitartarato;0,001 mg;;quebra automática incerta · via de administração não inferida
BAR-2791AD;Escetamina 50 mg/mL - ampola;Escetamina;50 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-590B11;Escopolamina butilbrometo + Dipirona sódica 4 mg/mL+500 mg/mL AMP 5 mL - ampola;Escopolamina butilbrometo + Dipirona sódica;4 mg/mL +500 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-9D0EC2;Escopolamina butilbrometo 20 mg/mL - 1 mL - ampola;Escopolamina butilbrometo;20 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-F0A4CE;Etilefrina 10 mg/mL-1 mL - ampola;Etilefrina;10 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-1E90C7;Etomidato 2 mg/mL - 10 mL - ampola;Etomidato;2 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-F7710D;Fenitoína Sódica 50 mg/mL - 5 mL - ampola;Fenitoína Sódica;50 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-FB8EA6;Fenobarbital Sódico 100 mg/mL - 2 mL - ampola;Fenobarbital Sódico;100 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-1E05DF;Fentanil Citrato 0,05 mg/mL - 10 mL - ampola;Fentanil Citrato;0,05 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-B4DEA5;Fitomenadiona (vitamina K) 10 mg/mL AMP 1 mL - ampola;Fitomenadiona (vitamina K);10 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-FFA61F;Fitomenadiona 10 mg - 1 mL - ampola;Fitomenadiona;10 mg;;quebra automática incerta · via de administração não inferida
BAR-BD73B3;Flumazenil 0,1 mg/mL - 5 mL - ampola;Flumazenil;0,1 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-39D92A;Furosemida 10 mg/mL- 2 mL - ampola;Furosemida;10 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-782F10;Gentamicina sulfato 40 mg/mL - 1 mL - ampola;Gentamicina sulfato;40 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-AAF35D;Gentamicina, Sulfato 40 mg/mL AMP 2 mL - ampola;Gentamicina, Sulfato;40 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-E3E813;Glicerina Clister 12% (120 mg/mL) 500 mL - frasco;Glicerina Clister;12%;;quebra automática incerta · via de administração não inferida
BAR-25FF2B;Gliconato de Calcio 10% AMP 10 mL - ampola;Gliconato de Calcio;10%;;quebra automática incerta · via de administração não inferida
BAR-693C3E;Glicose 25% - 10 mL - ampola;Glicose;25%;;quebra automática incerta · via de administração não inferida
BAR-F0E127;Glicose 5% - 250 mL - bolsa;Glicose;5%;;quebra automática incerta · via de administração não inferida
BAR-E38FDA;Glicose 5% - 500 mL - bolsa;Glicose;5%;;quebra automática incerta · via de administração não inferida
BAR-04F1AE;Glicose 50% - 10 mL - ampola;Glicose;50%;;quebra automática incerta · via de administração não inferida
BAR-C516E3;Haloperidol 5 mg/mL-1 mL - ampola;Haloperidol;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-E590F0;Heparina Sódica 5.000 UI - 0,25 mL - ampola;Heparina Sódica;5.000 UI;;quebra automática incerta · via de administração não inferida
BAR-CC1B03;Heparina Sódica 5.000 UI/mL - 5 mL - frasco/ampola;Heparina Sódica;5.000 UI/mL;;quebra automática incerta · via de administração não inferida
BAR-A1E30A;Hidralazina cloridrato 20 mg/mL -1 mL - ampola;Hidralazina cloridrato;20 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-F6767E;Hidrocortisona succinato 100 mg - frasco/ampola;Hidrocortisona succinato;100 mg;;quebra automática incerta · via de administração não inferida
BAR-29DCA5;Hidrocortisona succinato 500 mg - frasco/ampola;Hidrocortisona succinato;500 mg;;quebra automática incerta · via de administração não inferida
BAR-FC5C9F;Insulina Nph 100 UI/mL - ampola;Insulina Nph;100 UI/mL;;quebra automática incerta · via de administração não inferida
