codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
BET-EA4A21;Brometo de Ipratrópio 0,25mg/ml - Solução para Inalação;Brometo de Ipratrópio;0,25mg/ml;solução;via de administração não inferida
BET-36E31C;Brometo de Ipratrópio 20mcg/dose - Solução Aerossol;Brometo de Ipratrópio;20mcg/dose;solução;via de administração não inferida
BET-65DFC7;Dexametasona 1mg/ml - Suspensão Oftálmica;Dexametasona;1mg/ml;suspensão;via de administração não inferida
BET-6E209F;Glicina 15mg/ml (1,5%) - Solução para Irrigação;Glicina;15mg/ml (1,5%);solução;via de administração não inferida
BET-58DEC1;Hidroxietilamido + Cloreto de Sódio 60mg/ml (6%) + 9mg/ml (0,9%) - Solução para Infusão;Hidroxietilamido + Cloreto de Sódio;60mg/ml (6%) + 9mg/ml;solução;via de administração não inferida
BET-025451;Lidocaína Cloridrato 100mg/ml (10%) - Spray;Lidocaína Cloridrato;100mg/ml (10%);spray;via de administração não inferida
BET-45FEA6;Lidocaína Cloridrato 20mg/g (2%) - Geleia;Lidocaína Cloridrato;20mg/g (2%);geleia;via de administração não inferida
BET-A32B77;Oleo Mineral;Oleo Mineral;;;quebra automática incerta · via de administração não inferida
BET-2721AF;Saccharomyces Boulardii – 17 100mg - Cápsula;Saccharomyces Boulardii – 17;100mg;cápsula;quebra automática incerta
BET-B90E95;Salbutamol, Sulfato 5mg/ml - Solução para Inalação;Salbutamol, Sulfato;5mg/ml;solução;via de administração não inferida
BET-39199C;Salmeterol, Xinafoato + Fluticasona 25mcg + 125mcg/ dose - Spray Oral;Salmeterol, Xinafoato + Fluticasona;25mcg + 125mcg;spray;via de administração não inferida
BET-58AC97;Sevoflurano 1ml/ml (100%) - Solução para Inalação;Sevoflurano;100%;solução;concentração corrigida (tamanho de embalagem != concentração) · via de administração não inferida
BET-111499;Simeticona 75mg/ml - Emulsão Oral;Simeticona;75mg/ml;emulsão;via de administração não inferida
BET-EBBC87;Sorbitol 30mg/ml (3%) - Solução para Irrigação;Sorbitol;30mg/ml (3%);solução;via de administração não inferida
