remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BET-C198D3;Acetato de Retinol + Aminoácidos + Metionina + Cloranfenicol 10.000ui/g + 25mg/g + 5mg/g + 5mg/g - Pomada Oftálmica;Acetato de Retinol + Aminoácidos + Metionina + Cloranfenicol;10.000ui;pomada oftálmica;;;;oftálmica;ativo
23/09/2026;BET-27609B;Acetazolamida 250mg - Comprimido;Acetazolamida;250mg;comprimido;;;;oral;ativo
23/09/2026;BET-D21B19;Acetilcisteína 600mg - Granulado Oral;Acetilcisteína;600mg;granulado;;UPA, HPRB, PID;;oral;ativo
23/09/2026;BET-1C0115;Aciclovir 200mg - Comprimido;Aciclovir;200mg;comprimido;;UBS, SEPADI, UPA, HPRB;;oral;ativo
23/09/2026;BET-86438B;Aciclovir 250mg - Pó para Solução Injetável;Aciclovir;250mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;BET-3307B0;Adenosina 3mg/ml - Solução Injetável;Adenosina;3mg/ml;solução injetável;;UPA, HPRB, SAMU, CIMUC;;injetável;ativo
23/09/2026;BET-6711F7;Adrenalina (Epinefrina) 1mg/ml - Solução Injetável;Adrenalina (Epinefrina);1mg/ml;solução injetável;;CX EMERGÊNCIA, UPA, HPRB, SEPADI, CIMUC, SAMU;;injetável;ativo
23/09/2026;BET-6C4AA4;Albendazol 400mg - Comprimido Mastigável;Albendazol;400mg;comprimido mastigável;;;;oral;ativo
23/09/2026;BET-AA6DD8;Albendazol 40mg/ml - Suspensão Oral;Albendazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;BET-337F42;Albumina Humana 0.2 - Solução Injetável;Albumina Humana;0.2;solução injetável;;;;injetável;ativo
23/09/2026;BET-3F772E;Alendronato de Sódio 70mg - Comprimido;Alendronato de Sódio;70mg;comprimido;;;;oral;ativo
23/09/2026;BET-2EA6B5;Alfentanila Cloridrato 0,544mg/ml - Solução Injetável;Alfentanila Cloridrato;0,544mg/ml;solução injetável;;;Notificação de Receita A (amarela) — entorpecente/psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;BET-2C0610;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;;;oral;ativo
23/09/2026;BET-EFD46F;Alopurinol 300mg - Comprimido;Alopurinol;300mg;comprimido;;;;oral;ativo
23/09/2026;BET-23B2AA;Alteplase 50mg - Solução Injetável;Alteplase;50mg;solução injetável;;UPA, HPRB;;injetável;ativo
23/09/2026;BET-F6C9CD;Amicacina 250mg/ml - Solução Injetável;Amicacina;250mg/ml;solução injetável;;HPRB, PID, UPA;;injetável;ativo
23/09/2026;BET-2D09B1;Aminofilina 24mg/ml - Solução Injetável;Aminofilina;24mg/ml;solução injetável;;;;injetável;ativo
