remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;CON-77FB02;Acetato de Betametasona + Fosfato Dissódico de Betametasona 3mg/ml+3mg/ml - Suspensão Injetável;Acetato de Betametasona + Fosfato Dissódico de Betametasona;3mg/ml +3mg/ml;suspensão injetável;;;;injetável;ativo
23/09/2026;CON-746BF9;Acetato de Medroxiprogesterona 150mg/ml - Suspensão Injetável;Acetato de Medroxiprogesterona;150mg/ml;suspensão injetável;;;;injetável;ativo
23/09/2026;CON-1AF5FE;Aciclovir Sódico 200mg - Comprimido;Aciclovir Sódico;200mg;comprimido;;;;oral;ativo
23/09/2026;CON-FD09BD;Aciclovir Sódico 50mg/g - Creme;Aciclovir Sódico;50mg/g;creme;;;;tópica;ativo
23/09/2026;CON-E1F2FB;Ácido Acetilsalicílico 100mg - Comprimido;Ácido Acetilsalicílico;100mg;comprimido;;;;oral;ativo
23/09/2026;CON-C8E603;Ácido Fólico 0,20mg/ml - Solução Oral;Ácido Fólico;0,20mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-8FBA95;Ácido Fólico 5mg - Comprimido;Ácido Fólico;5mg;comprimido;;;;oral;ativo
23/09/2026;CON-5AC345;Ácido Valpróico (Valproato Sódio) 250mg - Cápsula;Ácido Valpróico (Valproato Sódio);250mg;cápsula;;;;oral;ativo
23/09/2026;CON-812443;Ácido Valpróico (Valproato Sódio) 500mg - Comprimido;Ácido Valpróico (Valproato Sódio);500mg;comprimido;;;;oral;ativo
23/09/2026;CON-EF9258;Ácido Valpróico (Valproato Sódio) 50mg/ml - Xarope;Ácido Valpróico (Valproato Sódio);50mg/ml;xarope;;;;oral;ativo
23/09/2026;CON-F2C54C;Albendazol 400mg - Comprimido Mastigável;Albendazol;400mg;comprimido mastigável;;;;oral;ativo
23/09/2026;CON-43BFDD;Albendazol 40mg/ml - Suspensão Oral;Albendazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;CON-C672AF;Alendronato Sódico 70mg - Comprimido;Alendronato Sódico;70mg;comprimido;;;;oral;ativo
23/09/2026;CON-3B5EC0;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;;;oral;ativo
23/09/2026;CON-47C397;Alopurinol 300mg - Comprimido;Alopurinol;300mg;comprimido;;;;oral;ativo
23/09/2026;CON-5AE352;Amiodarona Cloridrato 200mg - Comprimido;Amiodarona Cloridrato;200mg;comprimido;;;;oral;ativo
23/09/2026;CON-6C104F;Amitriptilina Cloridrato 25mg - Comprimido;Amitriptilina Cloridrato;25mg;comprimido;;;;oral;ativo
23/09/2026;CON-773E7A;Amitriptilina Cloridrato 75mg - Comprimido;Amitriptilina Cloridrato;75mg;comprimido;;;;oral;ativo
23/09/2026;CON-80E122;Amoxicilina + Clavulanato de Potássio 500mg+125mg - Comprimido;Amoxicilina + Clavulanato de Potássio;500mg +125mg;comprimido;;;;oral;ativo
23/09/2026;CON-BD289F;Amoxicilina + Clavulanato de Potássio 50mg/ml+12,5mg/ml - Pó para Suspensão Oral;Amoxicilina + Clavulanato de Potássio;50mg/ml +12,5mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;CON-4DE89D;Amoxicilina 500mg - Cápsula;Amoxicilina;500mg;cápsula;;;;oral;ativo
23/09/2026;CON-CA63FD;Amoxicilina 50mg/ml - Pó para Suspensão Oral;Amoxicilina;50mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;CON-B85DC6;Anlodipino 10mg - Comprimido;Anlodipino;10mg;comprimido;;;;oral;ativo
23/09/2026;CON-28F8F6;Anlodipino 5mg - Comprimido;Anlodipino;5mg;comprimido;;;;oral;ativo
23/09/2026;CON-E10B02;Atenolol 25mg - Comprimido;Atenolol;25mg;comprimido;;;;oral;ativo
23/09/2026;CON-A37BC5;Atenolol 50mg - Comprimido;Atenolol;50mg;comprimido;;;;oral;ativo
23/09/2026;CON-3FBDD2;Azitromicina 40mg/ml - Pó para Suspensão Oral;Azitromicina;40mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;CON-F5B2DF;Azitromicina 500mg - Comprimido;Azitromicina;500mg;comprimido;;;;oral;ativo
23/09/2026;CON-096B42;Beclometasona Dipropionato 200mcg - Solução para Inalação Oral;Beclometasona Dipropionato;200mcg;solução;;;;;ativo
23/09/2026;CON-BB5921;Beclometasona Dipropionato 250mcg - Solução para Inalação Oral;Beclometasona Dipropionato;250mcg;solução;;;;;ativo
23/09/2026;CON-1038A9;Beclometasona Dipropionato 50mcg - Solução para Inalação Oral;Beclometasona Dipropionato;50mcg;solução;;;;;ativo
23/09/2026;CON-BA39CF;Benzilpenicilina Benzatina 1.200.000ui - Pó para Suspensão Injetável;Benzilpenicilina Benzatina;1.200.000ui;pó para suspensão injetável;;;;injetável;ativo
23/09/2026;CON-6B38EC;Benzoilmetronidazol 40mg/ml - Suspensão Oral;Benzoilmetronidazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;CON-E53590;Biperideno Cloridrato 2mg - Comprimido;Biperideno Cloridrato;2mg;comprimido;;;;oral;ativo
23/09/2026;CON-8FBF2D;Budesonida 32mcg - Solução para Inalação Nasal;Budesonida;32mcg;solução;;;;nasal;ativo
23/09/2026;CON-E88405;Budesonida 50mcg - Solução para Inalação Nasal;Budesonida;50mcg;solução;;;;nasal;ativo
23/09/2026;CON-3CEC2F;Budesonida 64mcg - Solução para Inalação Nasal;Budesonida;64mcg;solução;;;;nasal;ativo
23/09/2026;CON-AE1EC1;Cabergolina 0,5mg - Comprimido;Cabergolina;0,5mg;comprimido;;;;oral;ativo
23/09/2026;CON-6BE3A4;Captopril 25mg - Comprimido;Captopril;25mg;comprimido;;;;oral;ativo
23/09/2026;CON-ED5C7D;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;;;oral;ativo
23/09/2026;CON-604F55;Carbamazepina 20mg/ml - Suspensão Oral;Carbamazepina;20mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;CON-AF7647;Carbonato de Cálcio + Colecalciferol 1.250mg (500mg de Cálcio)+400ui - Comprimido;Carbonato de Cálcio + Colecalciferol;1.250mg;comprimido;;;;oral;ativo
23/09/2026;CON-923C56;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;;;oral;ativo
23/09/2026;CON-F6ECE8;Carvedilol 12,5mg - Comprimido;Carvedilol;12,5mg;comprimido;;;;oral;ativo
23/09/2026;CON-59C9C8;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;;;oral;ativo
23/09/2026;CON-80B521;Cefalexina 500mg - Comprimido;Cefalexina;500mg;comprimido;;;;oral;ativo
23/09/2026;CON-AB32CF;Cefalexina 50mg/ml - Pó para Suspensão Oral;Cefalexina;50mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;CON-FC9C4B;Ciprofloxacino Cloridrato 500mg - Comprimido;Ciprofloxacino Cloridrato;500mg;comprimido;;;;oral;ativo
23/09/2026;CON-12D030;Claritromicina 500mg - Comprimido;Claritromicina;500mg;comprimido;;;;oral;ativo
23/09/2026;CON-222BD2;Clomipramina Cloridrato 25mg - Comprimido;Clomipramina Cloridrato;25mg;comprimido;;;;oral;ativo
