codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
CON-F3D47F;Albendazol 40mg/mL - Suspensão;Albendazol;40mg/mL;suspensão;via de administração não inferida
CON-0EAD5A;Carvão Vegetal Ativado - Pó Oral;Carvão Vegetal Ativado;;pó;via de administração não inferida
CON-8FA22E;Clonazepam 2,5mg/mL - Gotas;Clonazepam;2,5mg/mL;gotas;via de administração não inferida
CON-CD3F28;Dipirona 500mg/mL - Gotas;Dipirona;500mg/mL;gotas;via de administração não inferida
CON-549B7E;Dipropionato de Beclometasona 250mcg - Spray Oral;Dipropionato de Beclometasona;250mcg;spray;via de administração não inferida
CON-6E1403;Dipropionato de Beclometasona 50mcg - Spray Oral;Dipropionato de Beclometasona;50mcg;spray;via de administração não inferida
CON-963BAA;Fenobarbital 40mg/mL - Gotas;Fenobarbital;40mg/mL;gotas;via de administração não inferida
CON-B0D0DA;Fenoterol 5mg/mL - Solução para Inalação;Fenoterol;5mg/mL;solução;via de administração não inferida
CON-E1AD41;Haloperidol 2mg/mL - Gotas;Haloperidol;2mg/mL;gotas;via de administração não inferida
CON-A5A6BA;Heparina 5.000ui/0,25mL - Subcutânea;Heparina;5.000ui;;quebra automática incerta
CON-22F4C0;Ibuprofeno 50mg/mL - Gotas;Ibuprofeno;50mg/mL;gotas;via de administração não inferida
CON-9CDBF1;Ipratrópio 0,25mg/mL - Solução para Inalação;Ipratrópio;0,25mg/mL;solução;via de administração não inferida
CON-969177;Metoclopramida 4mg/mL - Gotas;Metoclopramida;4mg/mL;gotas;via de administração não inferida
CON-E20D37;Nimesulida 50mg/mL - Gotas;Nimesulida;50mg/mL;gotas;via de administração não inferida
CON-BA3C9E;Paracetamol 200mg/mL - Gotas;Paracetamol;200mg/mL;gotas;via de administração não inferida
CON-93CAFC;PVPI 10% - Solução Aquosa Degermante;PVPI;10%;solução;via de administração não inferida
CON-101832;Sais para Reidratação Oral - Pacote;Sais para Reidratação Oral - Pacote;;;quebra automática incerta · via de administração não inferida
CON-39FE72;Simeticona 75mg/mL - Emulsão Oral;Simeticona;75mg/mL;emulsão;via de administração não inferida
CON-403DF3;Sulfato Ferroso 125mg/mL - Gotas;Sulfato Ferroso;125mg/mL;gotas;via de administração não inferida
CON-1DAADE;Sulfato Polimixina B 10.000ui + Fluocinolona 0,250mg + Neomicina 3,5mg + Lidocaína 20mg - Gotas;Sulfato Polimixina B;10.000ui;gotas;via de administração não inferida
CON-FF04B2;Ácido Fólico 0,2mg/mL - Gotas;Ácido Fólico;0,2mg/mL;gotas;via de administração não inferida
CON-42A1D2;Álcool Etílico 70% - Solução;Álcool Etílico;70%;solução;via de administração não inferida
