remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;CON-4AA5B8;Acetato de Ciproterona 2mg + Etinilestradiol 0,035mg - Comprimido;Acetato de Ciproterona;2mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-EBBD9F;Acetato de Medroxiprogesterona 150mg - Injetável;Acetato de Medroxiprogesterona;150mg;injetável;;UBS, FARMÁCIA CENTRAL;;injetável;ativo
23/09/2026;CON-25CEF5;Acetilcisteína 20mg/mL - Xarope;Acetilcisteína;20mg/mL;xarope;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-21AC5B;Acetilcisteína 40mg/mL - Xarope;Acetilcisteína;40mg/mL;xarope;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-99D223;Acetofenido de Algestona 150mg + Enantato de Estradiol 10mg - Injetável;Acetofenido de Algestona;150mg;injetável;;UBS, FARMÁCIA CENTRAL;;injetável;ativo
23/09/2026;CON-D31ABA;Aciclovir 200mg - Comprimido;Aciclovir;200mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-99E5AC;Adenosina 3mg/mL - Injetável;Adenosina;3mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-5D6C3D;Albendazol 400mg - Comprimido;Albendazol;400mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-F3D47F;Albendazol 40mg/mL - Suspensão;Albendazol;40mg/mL;suspensão;;UBS, FARMÁCIA CENTRAL;;;ativo
23/09/2026;CON-4B819F;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-58FCD6;Alopurinol 300mg - Comprimido;Alopurinol;300mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-3C4453;Alteplase 50mg - Injetável;Alteplase;50mg;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-5EEF61;Aminofilina 24mg/mL - Injetável;Aminofilina;24mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-FD1936;Amiodarona 200mg - Comprimido;Amiodarona;200mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-DAB307;Amiodarona 50mg/mL - Injetável;Amiodarona;50mg/mL;injetável;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-F961CF;Amitriptilina 25mg - Comprimido;Amitriptilina;25mg;comprimido;;FARMÁCIA CENTRAL, CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-925B4A;Amoxicilina 500mg - Cápsula;Amoxicilina;500mg;cápsula;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-700C2E;Amoxicilina 50mg/mL - Pó para Suspensão Oral;Amoxicilina;50mg/mL;pó para suspensão oral;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-69C72E;Ampicilina 1g - Injetável;Ampicilina;1g;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-35E2C8;Atropina 0,25mg/mL - Injetável;Atropina;0,25mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-B3F506;Azitromicina 40mg/mL - Pó para Suspensão Oral;Azitromicina;40mg/mL;pó para suspensão oral;;FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-0DDEF3;Azitromicina 500mg - Comprimido;Azitromicina;500mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-2F7CCB;Benzilpenicilina Benzatina 1.200.000ui - Injetável;Benzilpenicilina Benzatina;1.200.000ui;injetável;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-4A35B6;Benzilpenicilina Procaína/Potássica 400.000ui - Injetável;Benzilpenicilina Procaína/Potássica;400.000ui;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-3BFF7B;Besilato de Anlodipino 5mg - Comprimido;Besilato de Anlodipino;5mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-BBA318;Bicarbonato de Sódio 8,4% - Injetável;Bicarbonato de Sódio;8,4%;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-DC9A7E;Biperideno 2mg - Comprimido;Biperideno;2mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-C98A2B;Biperideno 5mg/mL - Injetável;Biperideno;5mg/mL;injetável;;URGÊNCIA (USO INTERNO), CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;injetável;ativo
23/09/2026;CON-6B3B4D;Captopril 25mg - Comprimido;Captopril;25mg;comprimido;;UBS, FARMÁCIA CENTRAL, URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-BB6A83;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-47412E;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-ED52D8;Carvedilol 12,5mg - Comprimido;Carvedilol;12,5mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-049AE8;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-0EAD5A;Carvão Vegetal Ativado - Pó Oral;Carvão Vegetal Ativado;;pó;;EXCLUSIVO DA URGÊNCIA (USO INTERNO);;;ativo
23/09/2026;CON-5D7496;Cefalexina 250mg/5mL - Suspensão Oral;Cefalexina;250mg/5mL;suspensão oral;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-5065B6;Cefalexina 500mg - Comprimido;Cefalexina;500mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-239EF2;Ceftriaxona 1g - Injetável;Ceftriaxona;1g;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-08E76F;Cetoconazol 200mg - Comprimido;Cetoconazol;200mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-27D8B6;Cetoconazol 20mg/g - Creme;Cetoconazol;20mg/g;creme;;UBS, FARMÁCIA CENTRAL;;tópica;ativo
23/09/2026;CON-512AB1;Cetoprofeno 50mg/mL - Injetável;Cetoprofeno;50mg/mL;injetável;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;injetável;ativo
