codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
COR-F006CD;Agulha 32g 4 X 0,23mm - Descartável;Agulha;32g;;quebra automática incerta · via de administração não inferida
COR-86D981;Beclometasona Dipropionato 250mcg/jato - Spray Oral;Beclometasona Dipropionato;250mcg;spray;via de administração não inferida
COR-81ECC8;Beclometasona Dipropionato 50mcg/jato - Spray Oral;Beclometasona Dipropionato;50mcg;spray;via de administração não inferida
COR-E76E33;Brinzolamida 10mg/ml - Suspensão Oftálmica;Brinzolamida;10mg/ml;suspensão;via de administração não inferida
COR-87C2B1;Cloreto De Sódio 0,9% - Solução Para Lavagem 500ml;Cloreto De Sódio;0,9%;solução;via de administração não inferida
COR-9C7018;Dispositivo Intrauterino (Diu) Com Cobre T 380 - Insumo Básico;Dispositivo Intrauterino (Diu) Com Cobre T 380 - Insumo Básico;;;quebra automática incerta · via de administração não inferida
COR-E5996D;Fita De Glicemia Reagente - Insumo Básico;Fita De Glicemia Reagente - Insumo Básico;;;quebra automática incerta · via de administração não inferida
COR-B5EC47;Ipratrópio Brometo 0,25mg/ml - Solução Para Inalação;Ipratrópio Brometo;0,25mg/ml;solução;via de administração não inferida
COR-DC5E67;Lanceta Descartável Para Punção Digital - Insumo Básico;Lanceta Descartável Para Punção Digital - Insumo Básico;;;quebra automática incerta · via de administração não inferida
COR-27EF13;Lidocaína Cloridrato 20mg/g - Geleia;Lidocaína Cloridrato;20mg/g;geleia;via de administração não inferida
COR-920A8F;Sais Para Reidratação Oral 27,9g - Envelope;Sais Para Reidratação Oral;27,9g;;quebra automática incerta · via de administração não inferida
COR-074778;Salbutamol 100mcg/dose - Spray;Salbutamol;100mcg/dose;spray;via de administração não inferida
COR-B837AC;Salbutamol Sulfato 6mg/ml - Solução Para Nebulização;Salbutamol Sulfato;6mg/ml;solução;via de administração não inferida
COR-06B564;Seringa Descartável 1ml Com Agulha - Insumo Básico;Seringa Descartável;1ml;;quebra automática incerta · via de administração não inferida
COR-815B27;Simeticona 75mg/ml - Emulsão Oral;Simeticona;75mg/ml;emulsão;via de administração não inferida
