codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
FRA-E4880F;Sulfato Ferroso gotas 25 mg/ml frasco 30 ml;Sulfato Ferroso;25 mg/ml;gotas;via de administração não inferida
FRA-461DDA;Isossorbida Mononitrato ampola 10 mg/1 ml;Isossorbida Mononitrato ampola;10 mg/1 ml;;quebra automática incerta · via de administração não inferida
FRA-8692BB;Adenosina ampola 6 mg/2 ml;Adenosina ampola;6 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-6EC138;Amiodarona ampola 150 mg/3 ml;Amiodarona ampola;150 mg/3 ml;;quebra automática incerta · via de administração não inferida
FRA-2A1FAC;Heparina Sódica frasco-ampola 5.000 UI/0,25 ml;Heparina Sódica frasco-ampola;5.000 UI;;quebra automática incerta · via de administração não inferida
FRA-BC6F2B;Heparina Sódica frasco-ampola 25.000 UI/5 ml;Heparina Sódica frasco-ampola;25.000 UI;;quebra automática incerta · via de administração não inferida
FRA-A18CEA;Atropina ampola 0,25 mg/1 ml;Atropina ampola;0,25 mg/1 ml;;quebra automática incerta · via de administração não inferida
FRA-2460FD;Medroxiprogesterona ampola de 150 mg;Medroxiprogesterona ampola de;150 mg;;quebra automática incerta · via de administração não inferida
FRA-97F1CF;Noretisterona + Valerato de Estradiol ampola;Noretisterona + Valerato de Estradiol ampola;;;quebra automática incerta · via de administração não inferida
FRA-F54879;Preservativo masculino;Preservativo masculino;;;quebra automática incerta · via de administração não inferida
FRA-A8F84C;Dispositivo Intra Uterino DIU de cobre;Dispositivo Intra Uterino DIU de cobre;;;quebra automática incerta · via de administração não inferida
FRA-AE6699;Fenitoína ampola 250 mg/5 ml;Fenitoína ampola;250 mg/5 ml;;quebra automática incerta · via de administração não inferida
FRA-74DF24;Fenobarbital ampola 200 mg/2 ml;Fenobarbital ampola;200 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-4EB507;Carvão Ativado;Carvão Ativado;;;quebra automática incerta · via de administração não inferida
FRA-5093E4;Flumazenil ampola 0,5 mg/5 ml;Flumazenil ampola;0,5 mg/5 ml;;quebra automática incerta · via de administração não inferida
FRA-60FD95;Naloxona ampola 0,4 mg/1 ml;Naloxona ampola;0,4 mg/1 ml;;quebra automática incerta · via de administração não inferida
FRA-55B943;Metoclopramida ampola 10 mg/2 ml;Metoclopramida ampola;10 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-BEC9BE;Dimenidrinato + Vitamina B6 (dimenidrinato 50 mg + vit. B6 50 mg) ampola 1 ml;Dimenidrinato + Vitamina B6 (dimenidrinato;50 mg;;quebra automática incerta · via de administração não inferida
FRA-B91F14;Dimenidrinato + Vitamina B6 DL + Glicose + Frutose (dimenidrinato 30 mg + vit. B6 50 mg + glicose 1 g + frutose 1 g) ampola 10 ml;Dimenidrinato + Vitamina B6 DL + Glicose + Frutose (dimenidrinato;30 mg;;quebra automática incerta · via de administração não inferida
FRA-89D857;N-Butilescopolamina ampola 20 mg/ml;N-Butilescopolamina ampola;20 mg/ml;;quebra automática incerta · via de administração não inferida
FRA-9164B6;Adifenina + Dipirona + Prometazina (adifenina 25 mg + dipirona 750 mg + prometazina 25 mg) ampola 2 ml;Adifenina + Dipirona + Prometazina (adifenina;25 mg;;quebra automática incerta · via de administração não inferida
FRA-186A3E;N-Butilescopolamina + Dipirona composto (N-butilescopolamina 20 mg + dipirona 2.500 mg) ampola 5 ml;N-Butilescopolamina + Dipirona composto (N-butilescopolamina;20 mg;;quebra automática incerta · via de administração não inferida
FRA-B6BB90;Dimeticona gotas 75 mg/ml frasco 15 ml;Dimeticona;75 mg/ml;gotas;via de administração não inferida
FRA-BA4312;Loratadina 5 mg/5 ml frasco 100 ml;Loratadina;5 mg/5 ml;;quebra automática incerta · via de administração não inferida
FRA-3EFC4A;Prometazina ampola 50 mg/2 ml;Prometazina ampola;50 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-8C270D;Dexametasona frasco-ampola 10 mg/2,5 ml;Dexametasona frasco-ampola;10 mg/2,5 ml;;quebra automática incerta · via de administração não inferida
FRA-38B0A7;Beclometasona 50 mcg;Beclometasona;50 mcg;;quebra automática incerta · via de administração não inferida
FRA-018758;Beclometasona 200 mcg;Beclometasona;200 mcg;;quebra automática incerta · via de administração não inferida
FRA-0F2D79;Beclometasona 250 mcg;Beclometasona;250 mcg;;quebra automática incerta · via de administração não inferida
FRA-E347F5;Hidrocortisona Succinato de Hidrocortisona frasco-ampola 100 mg;Hidrocortisona Succinato de Hidrocortisona frasco-ampola;100 mg;;quebra automática incerta · via de administração não inferida
