remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;ITA-82A0F0;Aciclovir 200mg - Comprimido;Aciclovir;200mg;comprimido;;;;oral;ativo
23/09/2026;ITA-5A72ED;Ácido Acetilsalicílico 100mg - Comprimido;Ácido Acetilsalicílico;100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-86A754;Ácido Fólico 0,2mg/ml - Solução Oral (Gotas);Ácido Fólico;0,2mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-732CA8;Ácido Fólico 5mg - Comprimido;Ácido Fólico;5mg;comprimido;;;;oral;ativo
23/09/2026;ITA-48F7A0;Albendazol 400mg - Comprimido;Albendazol;400mg;comprimido;;;;oral;ativo
23/09/2026;ITA-127E30;Albendazol 40mg/ml - Suspensão Oral;Albendazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-BD894C;Alendronato de Sódio 70mg - Comprimido;Alendronato de Sódio;70mg;comprimido;;;;oral;ativo
23/09/2026;ITA-21644A;Algestona Acetofenida + Estradiol Enantato 150mg + 10mg - Injetável (Ampola);Algestona Acetofenida + Estradiol Enantato;150mg + 10mg;injetável;Ampola;;;injetável;ativo
23/09/2026;ITA-F1AB52;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-D5135B;Amiodarona 200mg - Comprimido;Amiodarona;200mg;comprimido;;;;oral;ativo
23/09/2026;ITA-E8FB6E;Amitriptilina 25mg - Comprimido;Amitriptilina;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-435EC4;Amoxicilina + Clavulanato 500mg + 125mg - Comprimido;Amoxicilina + Clavulanato;500mg + 125mg;comprimido;;;;oral;ativo
23/09/2026;ITA-FBACA7;Amoxicilina + Clavulanato 50mg + 12,5mg/ml - Suspensão Oral;Amoxicilina + Clavulanato;50mg + 12,5mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-F8815B;Amoxicilina 250mg/5ml - Suspensão Oral;Amoxicilina;250mg/5ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-6FBD75;Amoxicilina 500mg - Cápsula;Amoxicilina;500mg;cápsula;;;;oral;ativo
23/09/2026;ITA-AE012E;Anlodipino 5mg - Comprimido;Anlodipino;5mg;comprimido;;;;oral;ativo
23/09/2026;ITA-CEB1FC;Atenolol 50mg - Comprimido;Atenolol;50mg;comprimido;;;;oral;ativo
23/09/2026;ITA-A4D833;Azitromicina 40mg/ml - Suspensão Oral;Azitromicina;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-4FA694;Azitromicina 500mg - Comprimido;Azitromicina;500mg;comprimido;;;;oral;ativo
23/09/2026;ITA-8C94CA;Benzerazida + Levodopa 25mg + 100mg - Comprimido;Benzerazida + Levodopa;25mg + 100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-6FA37D;Benzerazida + Levodopa 50mg + 200mg - Comprimido;Benzerazida + Levodopa;50mg + 200mg;comprimido;;;;oral;ativo
23/09/2026;ITA-5E2689;Benzilpenicilina Benzatina 1.200.000ui - Injetável;Benzilpenicilina Benzatina;1.200.000ui;injetável;;;;injetável;ativo
23/09/2026;ITA-D03E0B;Biperideno 2mg - Comprimido;Biperideno;2mg;comprimido;;;;oral;ativo
23/09/2026;ITA-B8BC5C;Captopril 25mg - Comprimido;Captopril;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-6D239D;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;;;oral;ativo
23/09/2026;ITA-116B73;Carbamazepina 20mg/ml - Suspensão Oral;Carbamazepina;20mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-3450C8;Carbidopa + Levodopa 25mg + 250mg - Comprimido;Carbidopa + Levodopa;25mg + 250mg;comprimido;;;;oral;ativo
23/09/2026;ITA-471AC5;Carbonato de Cálcio 500mg - Comprimido;Carbonato de Cálcio;500mg;comprimido;;;;oral;ativo
23/09/2026;ITA-9D0278;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;;;oral;ativo
23/09/2026;ITA-CC4AF2;Carvedilol 12,5mg - Comprimido;Carvedilol;12,5mg;comprimido;;;;oral;ativo
23/09/2026;ITA-E5CD9D;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;;;oral;ativo
23/09/2026;ITA-BD957B;Cefalexina 250mg/5ml - Suspensão Oral;Cefalexina;250mg/5ml;suspensão oral;;;;oral;ativo
23/09/2026;ITA-B92E69;Cefalexina 500mg - Cápsula;Cefalexina;500mg;cápsula;;;;oral;ativo
23/09/2026;ITA-8F8B74;Cianocobalamina 1000mcg - Injetável (Ampola 2ml);Cianocobalamina;1000mcg;injetável;Ampola 2ml;;;injetável;ativo
23/09/2026;ITA-EA0554;Ciprofloxacino 500mg - Comprimido;Ciprofloxacino;500mg;comprimido;;;;oral;ativo
23/09/2026;ITA-3B8342;Clomipramina 25mg - Comprimido;Clomipramina;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-769DCC;Clonazepam 2,5mg/ml - Solução Oral (Gotas);Clonazepam;2,5mg/ml;solução oral;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;ITA-E0C6A1;Clonazepam 2mg - Comprimido;Clonazepam;2mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;ITA-09FF91;Cloreto de Sódio 0,9% - Solução Nasal;Cloreto de Sódio;0,9%;solução nasal;;;;nasal;ativo
23/09/2026;ITA-4A8865;Clorpromazina 100mg - Comprimido;Clorpromazina;100mg;comprimido;;;;oral;ativo
23/09/2026;ITA-C190DC;Clorpromazina 25mg - Comprimido;Clorpromazina;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-2BF010;Clorpromazina 40mg/ml - Solução Oral (Gotas);Clorpromazina;40mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-0E18E7;Complexo B - Comprimido;Complexo B;;comprimido;;;;oral;ativo
23/09/2026;ITA-97C892;Dexametasona 1mg/g (0,1%) - Creme Dermatológico;Dexametasona;1mg/g (0,1%);creme dermatológico;;;;tópica;ativo
23/09/2026;ITA-978C40;Dexclorfeniramina 2mg/5ml - Xarope;Dexclorfeniramina;2mg/5ml;xarope;;;;oral;ativo
23/09/2026;ITA-0E603F;Diazepam 10mg - Comprimido;Diazepam;10mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;ITA-43D0CB;Diazepam 5mg/ml - Injetável (Ampola 2ml);Diazepam;5mg/ml;injetável;Ampola 2ml;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;ITA-B7078A;Digoxina 0,25mg - Comprimido;Digoxina;0,25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-576683;Dipirona 500mg/ml - Solução Oral (Gotas);Dipirona;500mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-98F71D;Enalapril 10mg - Comprimido;Enalapril;10mg;comprimido;;;;oral;ativo
23/09/2026;ITA-2AED5B;Enalapril 20mg - Comprimido;Enalapril;20mg;comprimido;;;;oral;ativo
23/09/2026;ITA-AC903A;Espironolactona 25mg - Comprimido;Espironolactona;25mg;comprimido;;;;oral;ativo
23/09/2026;ITA-F69879;Etinilestradiol + Levonorgestrel 0,03mg + 0,15mg - Comprimido;Etinilestradiol + Levonorgestrel;0,03mg + 0,15mg;comprimido;;;;oral;ativo
