codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
MAC-FF9D11;Aciclovir 10g 50mg/g (5%) creme dermatológico bisnaga;Aciclovir;50mg/g (5%);creme dermatológico;concentração corrigida (tamanho de embalagem != concentração)
MAC-33E53A;Alfapeginterferona 2A 180 mcg;Alfapeginterferona 2A;180 mcg;;quebra automática incerta · via de administração não inferida
MAC-B8F318;Algestona Acetofenida 150 Mg/ml + Enantato De Estradiol 10 Mg/ml;Algestona Acetofenida;150 Mg/ml;;quebra automática incerta · via de administração não inferida
MAC-2D11F7;Amicacina, 2ml sulfato 250mg/ml solução injetável ampola;Amicacina;250mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-BC87C4;Amiodarona, cloridrato 150mg ou 50mg/ml solução injetável ampola 3ml;Amiodarona, cloridrato;50mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-0F061C;Amoxicilina 250mg/5ml (50mg/ml) pó susp.oral frasco 60ml + copo medida/ser dos;Amoxicilina;250mg/5ml;pó;via de administração não inferida
MAC-1ED259;Ampicilina 1g pó liof para solução injetável f/a + ampola diluente 3-5ml;Ampicilina;1g;pó;via de administração não inferida
MAC-2A1D8B;Atracúrio, 5ml besilato 10mg/ml solução injetável ampola;Atracúrio;10mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-05F0A1;Atropina, 1ml sulfato 0,25mg/ml solução injetável ampola;Atropina;0,25mg/ml;solução injetável;concentração corrigida (tamanho de embalagem != concentração)
MAC-5960D4;Azitromicina 600mg (40mg/ml ou 200mg/5ml) pó para susp oral frasco 15ml + seringa dosadora;Azitromicina;40mg/ml;pó;concentração corrigida (tamanho de embalagem != concentração) · via de administração não inferida
MAC-E49A0D;Cal Sodada em galão de 4,3 Kg;Cal Sodada em galão de;4,3 Kg;;quebra automática incerta · via de administração não inferida
MAC-F013E2;Cefalexina 250mg/5ml (50mg/ml) pó para susp.oral frasco 60ml + copo/ser dosador;Cefalexina;250mg/5ml;pó;via de administração não inferida
