remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;MAC-FE880F;Abacavir (ABC) 300mg, comprimido revestido;Abacavir (ABC);300mg;comprimido revestido;;IST;;oral;ativo
23/09/2026;MAC-329C5F;Abacavir (ABC) Solução Oral 20mg/ml;Abacavir (ABC);20mg/ml;solução oral;;IST;;oral;ativo
23/09/2026;MAC-6B8CF1;Acetazolamida 250mg comprimido;Acetazolamida;250mg;comprimido;;HPM, HPMS, EMERG;;oral;ativo
23/09/2026;MAC-254E92;Acetilcisteína 100 mg/ml (10%) solução injetável ampola 3ml;Acetilcisteína;100 mg/ml (10%);solução injetável;ampola 3ml;HPM;;injetável;ativo
23/09/2026;MAC-C8DCC7;Acetilcisteína 600mg granulado sachê/envelope 5;Acetilcisteína;600mg;granulado;envelope 5;EMERG, HPM, HPMS;;oral;ativo
23/09/2026;MAC-FF9D11;Aciclovir 10g 50mg/g (5%) creme dermatológico bisnaga;Aciclovir;50mg/g (5%);creme dermatológico;bisnaga;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;tópica;ativo
23/09/2026;MAC-A2AD51;Aciclovir 200 mg comprimido;Aciclovir;200 mg;comprimido;;HPM, HPMS, EMERG, UBS, IST, FM, Dispensário;;oral;ativo
23/09/2026;MAC-C49474;Aciclovir, sódico 250mg pó liofilizado para solução injetável f/a 20ml;Aciclovir, sódico;250mg;pó liofilizado para solução injetável;;HPM, HPMS, EMERG;;injetável;ativo
23/09/2026;MAC-4B796B;Adenosina 3mg/ml solução injetável ampola 2ml;Adenosina;3mg/ml;solução injetável;ampola 2ml;HPM, HPMS, EMERG, Maleta;;injetável;ativo
23/09/2026;MAC-B36EC9;Albendazol 400mg comprimido mastigável;Albendazol;400mg;comprimido mastigável;;HPM, HPMS, UBS, IST, FM, Dispensário;;oral;ativo
