codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
MEN-4C69D2;Acetilcisteína 200mg - Envelope;Acetilcisteína;200mg;;quebra automática incerta · via de administração não inferida
MEN-2D3DC9;Acetilcisteína 600mg - Envelope;Acetilcisteína;600mg;;quebra automática incerta · via de administração não inferida
MEN-A5F6C2;Acetofenida de Algestona + Enantato de Estradiol 150mg/ml+10mg/ml - Ampola;Acetofenida de Algestona + Enantato de Estradiol;150mg/ml +10mg/ml;;quebra automática incerta · via de administração não inferida
MEN-CB7683;Aciclovir 200mg - Frasco Ampola;Aciclovir;200mg;;quebra automática incerta · via de administração não inferida
MEN-747759;Ácido Ascórbico 100mg/ml - Ampola;Ácido Ascórbico;100mg/ml;;quebra automática incerta · via de administração não inferida
MEN-BE4CBB;Adenosina 3mg/ml - Ampola;Adenosina;3mg/ml;;quebra automática incerta · via de administração não inferida
MEN-26D303;Água Destilada - Frasco Ampola;Água Destilada - Frasco Ampola;;;quebra automática incerta · via de administração não inferida
MEN-84C88D;Alteplase 50mg - Frasco Ampola;Alteplase;50mg;;quebra automática incerta · via de administração não inferida
MEN-19998D;Aminofilina 24mg/ml - Ampola;Aminofilina;24mg/ml;;quebra automática incerta · via de administração não inferida
MEN-92CFCB;Amiodarona 50mg/ml - Ampola;Amiodarona;50mg/ml;;quebra automática incerta · via de administração não inferida
MEN-CFACDC;Amoxicilina + Clavulanato 500mg+100mg - Frasco Ampola;Amoxicilina + Clavulanato;500mg +100mg;;quebra automática incerta · via de administração não inferida
MEN-27F402;Ampicilina Sódica 1g - Frasco Ampola;Ampicilina Sódica;1g;;quebra automática incerta · via de administração não inferida
MEN-12EF4B;Azitromicina 500mg - Frasco Ampola;Azitromicina;500mg;;quebra automática incerta · via de administração não inferida
MEN-D39FCA;Benzilpenicilina Benzatina 1200000ui - Frasco Ampola;Benzilpenicilina Benzatina;1200000ui;;quebra automática incerta · via de administração não inferida
MEN-1B5644;Benzilpenicilina Benzatina 600000ui - Frasco Ampola;Benzilpenicilina Benzatina;600000ui;;quebra automática incerta · via de administração não inferida
MEN-65B1D5;Bicarbonato de Sódio 10% - Ampola;Bicarbonato de Sódio;10%;;quebra automática incerta · via de administração não inferida
MEN-0BCBBA;Brometo de Ipratrópio 0,25mg/ml - Solução para Inalação;Brometo de Ipratrópio;0,25mg/ml;solução;via de administração não inferida
MEN-353A08;Bromidrato de Fenoterol 5mg/ml - Solução para Nebulização;Bromidrato de Fenoterol;5mg/ml;solução;via de administração não inferida
MEN-2A84EA;Bromoprida 5mg/ml - Ampola;Bromoprida;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-40AC52;Butilbrometo de Escopolamina 20mg/ml - Ampola;Butilbrometo de Escopolamina;20mg/ml;;quebra automática incerta · via de administração não inferida
MEN-0EE599;Carvão Ativado - Pó;Carvão Ativado;;pó;via de administração não inferida
MEN-115012;Cefazolina 1g - Frasco Ampola;Cefazolina;1g;;quebra automática incerta · via de administração não inferida
MEN-46C74F;Cefepima 1g - Frasco Ampola;Cefepima;1g;;quebra automática incerta · via de administração não inferida
MEN-1A896A;Ceftazidima 1g - Frasco Ampola;Ceftazidima;1g;;quebra automática incerta · via de administração não inferida
MEN-41CAB6;Ceftriaxona 1g - Frasco Ampola;Ceftriaxona;1g;;quebra automática incerta · via de administração não inferida
MEN-6C8C87;Cetoprofeno 100mg - Frasco Ampola;Cetoprofeno;100mg;;quebra automática incerta · via de administração não inferida
MEN-F95DDA;Cetoprofeno 50mg/ml - Ampola;Cetoprofeno;50mg/ml;;quebra automática incerta · via de administração não inferida
MEN-F50820;Ciprofloxacino 200mg/100ml - Bolsa;Ciprofloxacino;200mg/100ml;;quebra automática incerta · via de administração não inferida
MEN-DFF486;Citrato de Fentanila 0,05mg/ml - Ampola;Citrato de Fentanila;0,05mg/ml;;quebra automática incerta · via de administração não inferida
MEN-ED75E9;Cloreto de Potássio 10% - Ampola;Cloreto de Potássio;10%;;quebra automática incerta · via de administração não inferida
MEN-1B8153;Cloreto de Sódio 10% - Ampola;Cloreto de Sódio;10%;;quebra automática incerta · via de administração não inferida
MEN-CAA38B;Cloreto de Sódio 20% - Ampola;Cloreto de Sódio;20%;;quebra automática incerta · via de administração não inferida
MEN-48573E;Cloreto de Suxametônio 100mg - Ampola;Cloreto de Suxametônio;100mg;;quebra automática incerta · via de administração não inferida
MEN-698DB6;Cloridrato de Clorpromazina 25mg - Ampola;Cloridrato de Clorpromazina;25mg;;quebra automática incerta · via de administração não inferida
MEN-A774AE;Cloridrato de Etilefrina 10mg/ml - Ampola;Cloridrato de Etilefrina;10mg/ml;;quebra automática incerta · via de administração não inferida
MEN-55DEA2;Cloridrato de Metoclopramida 10mg/2ml - Ampola;Cloridrato de Metoclopramida;10mg/2ml;;quebra automática incerta · via de administração não inferida
MEN-E9098E;Cloridrato de Ondansetrona 2mg/ml - Ampola;Cloridrato de Ondansetrona;2mg/ml;;quebra automática incerta · via de administração não inferida
MEN-F082D5;Cloridrato de Prometazina 2mg/ml - Ampola;Cloridrato de Prometazina;2mg/ml;;quebra automática incerta · via de administração não inferida
MEN-D63911;Cloridrato de Tramadol 50mg/ml - Ampola;Cloridrato de Tramadol;50mg/ml;;quebra automática incerta · via de administração não inferida
MEN-236E1B;Codergocrina 0,3mg/ml - Ampola;Codergocrina;0,3mg/ml;;quebra automática incerta · via de administração não inferida
MEN-7352E8;Deslanosídeo 0,2mg/ml - Ampola;Deslanosídeo;0,2mg/ml;;quebra automática incerta · via de administração não inferida
MEN-54BE70;Dexametasona 1mg/ml - Suspensão Oftálmica;Dexametasona;1mg/ml;suspensão;via de administração não inferida
MEN-296E58;Dexametasona 4mg/ml - Ampola;Dexametasona;4mg/ml;;quebra automática incerta · via de administração não inferida
MEN-6549C9;Diazepam 5mg/ml - Ampola;Diazepam;5mg/ml;;quebra automática incerta · via de administração não inferida
MEN-32DB59;Diclofenaco de Sódio 75mg/3ml - Ampola;Diclofenaco de Sódio;75mg/3ml;;quebra automática incerta · via de administração não inferida
MEN-FD0316;Dipirona 500mg/ml - Ampola;Dipirona;500mg/ml;;quebra automática incerta · via de administração não inferida
MEN-7C26CB;Dipropionato de Beclometasona 250mcg/dose - Spray Inalação Oral;Dipropionato de Beclometasona;250mcg/dose;spray;via de administração não inferida
MEN-E762A5;Dobutamina 12,5mg/ml - Ampola;Dobutamina;12,5mg/ml;;quebra automática incerta · via de administração não inferida
