remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;PIR-E3C4C2;Albendazol 400mg - Comprimido;Albendazol;400mg;comprimido;;;;oral;ativo
23/09/2026;PIR-FA9F54;Albendazol 40mg/ml - Frasco;Albendazol;40mg/ml;;Frasco;;;;ativo
23/09/2026;PIR-8E969D;Alendronato de Sódio 70mg - Comprimido;Alendronato de Sódio;70mg;comprimido;;;;oral;ativo
23/09/2026;PIR-4D01CE;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-106526;Alopurinol 300mg - Comprimido;Alopurinol;300mg;comprimido;;;;oral;ativo
23/09/2026;PIR-EEE27E;Amiodarona 200mg - Comprimido;Amiodarona;200mg;comprimido;;;;oral;ativo
23/09/2026;PIR-4458A5;Amoxicilina 250mg/5ml - Frasco;Amoxicilina;250mg/5ml;;Frasco;;;;ativo
23/09/2026;PIR-CC8818;Amoxicilina 500mg - Cápsula;Amoxicilina;500mg;cápsula;;;;oral;ativo
23/09/2026;PIR-4CCC80;Anlodipino 5mg - Comprimido;Anlodipino;5mg;comprimido;;;;oral;ativo
23/09/2026;PIR-A768A4;Azitromicina 500mg - Comprimido;Azitromicina;500mg;comprimido;;;;oral;ativo
23/09/2026;PIR-476A87;Biperideno 2mg (Akneton) - Comprimido;Biperideno;2mg;comprimido;;;;oral;ativo
23/09/2026;PIR-A059A8;Captopril 25mg - Comprimido;Captopril;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-29C119;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;;;oral;ativo
23/09/2026;PIR-D2DD59;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;;;oral;ativo
23/09/2026;PIR-D9974A;Carvedilol 25mg - Comprimido;Carvedilol;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-49F42F;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;;;oral;ativo
23/09/2026;PIR-FE7E76;Carvedilol 6,25mg - Comprimido;Carvedilol;6,25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-B90516;Cefalexina 250mg/5ml - Frasco;Cefalexina;250mg/5ml;;Frasco;;;;ativo
23/09/2026;PIR-AFE0C6;Cefalexina 500mg - Comprimido;Cefalexina;500mg;comprimido;;;;oral;ativo
23/09/2026;PIR-09A8A0;Ciprofloxacino 500mg - Comprimido;Ciprofloxacino;500mg;comprimido;;;;oral;ativo
23/09/2026;PIR-52AE0E;Clorpromazina 100mg (Amplictil) - Comprimido;Clorpromazina;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-6BA331;Clorpromazina 25mg (Amplictil) - Comprimido;Clorpromazina;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-E015EC;Dexametasona - Pomada (bisnaga);Dexametasona;;pomada;bisnaga;;;tópica;ativo
23/09/2026;PIR-243DB3;Dexametasona 4mg - Comprimido;Dexametasona;4mg;comprimido;;;;oral;ativo
23/09/2026;PIR-1ACF05;Dexclorfeniramina 0,4mg/5ml (Polaramine) - Frasco;Dexclorfeniramina;0,4mg/5ml;;Frasco;;;;ativo
23/09/2026;PIR-F04409;Dexclorfeniramina 2mg (Polaramine) - Comprimido;Dexclorfeniramina;2mg;comprimido;;;;oral;ativo
23/09/2026;PIR-2E7924;Diazepam 10mg - Comprimido;Diazepam;10mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;PIR-BBF565;Digoxina 0,25mg - Comprimido;Digoxina;0,25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-EC910A;Dipirona 500mg - Comprimido;Dipirona;500mg;comprimido;;;;oral;ativo
23/09/2026;PIR-851D09;Dipirona 500mg/ml - Frasco (gotas);Dipirona;500mg/ml;gotas;Frasco;;;;ativo
23/09/2026;PIR-4531FD;DIU de Cobre - Unidade;DIU de Cobre - Unidade;;;Unidade;;;;ativo
23/09/2026;PIR-443F4C;Enalapril 10mg - Comprimido;Enalapril;10mg;comprimido;;;;oral;ativo
23/09/2026;PIR-E69D19;Enalapril 20mg - Comprimido;Enalapril;20mg;comprimido;;;;oral;ativo
23/09/2026;PIR-047030;Espironolactona 100mg - Comprimido;Espironolactona;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-928B85;Espironolactona 25mg - Comprimido;Espironolactona;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-CFCE38;Fenitoína 100mg - Comprimido;Fenitoína;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-BA4952;Fenobarbital 100mg (Gardenal) - Comprimido;Fenobarbital;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-54777A;Fluconazol 150mg - Cápsula;Fluconazol;150mg;cápsula;;;;oral;ativo
23/09/2026;PIR-2BA2D4;Fluoxetina 20mg - Cápsula;Fluoxetina;20mg;cápsula;;;;oral;ativo
23/09/2026;PIR-F3729C;Furosemida 40mg - Comprimido;Furosemida;40mg;comprimido;;;;oral;ativo
23/09/2026;PIR-CF060E;Glibenclamida 5mg - Comprimido;Glibenclamida;5mg;comprimido;;;;oral;ativo
23/09/2026;PIR-E092D4;Glicosímetro - Unidade;Glicosímetro - Unidade;;;Unidade;;;;ativo
23/09/2026;PIR-733E63;Haloperidol 1mg - Comprimido;Haloperidol;1mg;comprimido;;;;oral;ativo
23/09/2026;PIR-6461FB;Haloperidol 5mg - Comprimido;Haloperidol;5mg;comprimido;;;;oral;ativo
23/09/2026;PIR-EC86E2;Haloperidol Decanoato 50mg/ml - Ampola;Haloperidol Decanoato;50mg/ml;;Ampola;;;;ativo
23/09/2026;PIR-A63189;Hidroclorotiazida 25mg - Comprimido;Hidroclorotiazida;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-9AEB27;Ibuprofeno 50mg/ml (Alivium) - Frasco (gotas);Ibuprofeno;50mg/ml;gotas;Frasco;;;;ativo
23/09/2026;PIR-AB60CA;Ibuprofeno 600mg - Comprimido;Ibuprofeno;600mg;comprimido;;;;oral;ativo
23/09/2026;PIR-DB075A;Insulina NPH - Frasco 10 ml;Insulina NPH - Frasco;10 ml;;Frasco 10 ml;;;;ativo
23/09/2026;PIR-736085;Insulina NPH - Refil 3 ml;Insulina NPH - Refil;3 ml;;;;;;ativo
23/09/2026;PIR-7938EF;Insulina Regular - Frasco 10ml;Insulina Regular - Frasco;10ml;;Frasco 10ml;;;;ativo
23/09/2026;PIR-4BDAED;Insulina Regular - Refil 3 ml;Insulina Regular - Refil;3 ml;;;;;;ativo
23/09/2026;PIR-DC1520;Ivermectina 6mg - Comprimido;Ivermectina;6mg;comprimido;;;;oral;ativo
23/09/2026;PIR-E4F4F2;Lancetas Automáticas - Unidade;Lancetas Automáticas - Unidade;;;Unidade;;;;ativo
23/09/2026;PIR-0888FA;Levodopa + Benserazida 200+50mg (Prolopa) - Comprimido;Levodopa + Benserazida;200+50mg;comprimido;;;;oral;ativo
23/09/2026;PIR-DDBEA0;Levonorgestrel + Etinilestradiol 0,15mg+0,03mg (Ciclo21) - Comprimido;Levonorgestrel + Etinilestradiol;0,15mg +0,03mg;comprimido;;;;oral;ativo
23/09/2026;PIR-C92C52;Levotiroxina Sódica 100mcg (Puran T4) - Comprimido;Levotiroxina Sódica;100mcg;comprimido;;;;oral;ativo
23/09/2026;PIR-76A70B;Levotiroxina Sódica 25mcg (Puran T4) - Comprimido;Levotiroxina Sódica;25mcg;comprimido;;;;oral;ativo
23/09/2026;PIR-4CD21C;Levotiroxina Sódica 50mcg (Puran T4) - Comprimido;Levotiroxina Sódica;50mcg;comprimido;;;;oral;ativo
23/09/2026;PIR-E8D947;Loratadina 10mg - Comprimido;Loratadina;10mg;comprimido;;;;oral;ativo
23/09/2026;PIR-DE9F21;Medroxiprogesterona 150mg/ml (Contracept/Demedrox) - Ampola;Medroxiprogesterona;150mg/ml;;Ampola;;;;ativo
