codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
PIR-B24890;Brometo de Ipratrópio 0,25mg/ml - Solução para inalação;Brometo de Ipratrópio;0,25mg/ml;solução;via de administração não inferida
PIR-70273C;Brometo de Ipratrópio 20mcg/dose - Solução aerosol;Brometo de Ipratrópio;20mcg/dose;solução;via de administração não inferida
PIR-007E2E;Budesonida 32mcg - Solução para inalação oral;Budesonida;32mcg;solução;via de administração não inferida
PIR-DD64AC;Budesonida 50mcg - Solução para inalação oral;Budesonida;50mcg;solução;via de administração não inferida
PIR-269181;Budesonida 64mcg - Solução para inalação oral;Budesonida;64mcg;solução;via de administração não inferida
PIR-D68866;Dipropionato de Beclometasona 200mcg/dose - Solução aerosol;Dipropionato de Beclometasona;200mcg/dose;solução;via de administração não inferida
PIR-86F4AF;Dipropionato de Beclometasona 25mcg/dose - Solução aerosol;Dipropionato de Beclometasona;25mcg/dose;solução;via de administração não inferida
PIR-167262;Simeticona 75mg/ml - Emulsão oral;Simeticona;75mg/ml;emulsão;via de administração não inferida
PIR-6A9703;Sulfato de Salbutamol 100mcg/dose - Suspensão aerosol;Sulfato de Salbutamol;100mcg/dose;suspensão;via de administração não inferida
PIR-CD353F;Sulfato Ferroso 25mg/ml - Solução;Sulfato Ferroso;25mg/ml;solução;via de administração não inferida
PIR-94A73F;Óleo Mineral - Óleo para uso oral;Óleo Mineral - Óleo para uso oral;;;quebra automática incerta · via de administração não inferida
