remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;PIR-02408C;Acetato de Betametasona + Fosfato Dissódico de Betametasona 3mg/mL + 3mg/mL - Suspensão injetável;Acetato de Betametasona + Fosfato Dissódico de Betametasona;3mg/mL + 3mg/mL;suspensão injetável;;;;injetável;ativo
23/09/2026;PIR-0922FB;Acetato de Hidrocortisona 10mg/g - Creme;Acetato de Hidrocortisona;10mg/g;creme;;;;tópica;ativo
23/09/2026;PIR-29F64F;Aciclovir 200mg - Comprimido;Aciclovir;200mg;comprimido;;;;oral;ativo
23/09/2026;PIR-29F731;Aciclovir 50mg/g - Creme;Aciclovir;50mg/g;creme;;;;tópica;ativo
23/09/2026;PIR-79FA84;Albendazol 400mg - Comprimido;Albendazol;400mg;comprimido;;;;oral;ativo
23/09/2026;PIR-CCB124;Albendazol 40mg/ml - Suspensão oral;Albendazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;PIR-A3250A;Alendronato de Sódio 70mg - Comprimido;Alendronato de Sódio;70mg;comprimido;;;;oral;ativo
23/09/2026;PIR-28BC52;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-7AEBA5;Alopurinol 300mg - Comprimido;Alopurinol;300mg;comprimido;;;;oral;ativo
23/09/2026;PIR-59B027;Amoxicilina + Clavulanato de Potássio 500mg + 125mg - Comprimido revestido;Amoxicilina + Clavulanato de Potássio;500mg + 125mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-0EA25D;Amoxicilina + Clavulanato de Potássio 50mg/ml + 12,5mg/ml - Pó para suspensão oral;Amoxicilina + Clavulanato de Potássio;50mg/ml + 12,5mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;PIR-D6F44F;Amoxicilina 500mg - Cápsula gelatinosa dura;Amoxicilina;500mg;cápsula;;;;oral;ativo
23/09/2026;PIR-B7D5C2;Atenolol 25mg - Comprimido;Atenolol;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-6F47C2;Atenolol 50mg - Comprimido;Atenolol;50mg;comprimido;;;;oral;ativo
23/09/2026;PIR-47E7EC;Azitromicina 40mg/ml - Pó para suspensão oral;Azitromicina;40mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;PIR-521CF2;Azitromicina 500mg - Comprimido revestido;Azitromicina;500mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-E798EC;Benzilpenicilina Benzatina 1.200.000UI - Pó para solução injetável;Benzilpenicilina Benzatina;1.200.000UI;pó para solução injetável;;;;injetável;ativo
23/09/2026;PIR-3C25D2;Benzilpenicilina Potássica 500.000UI - Pó para solução injetável;Benzilpenicilina Potássica;500.000UI;pó para solução injetável;;;;injetável;ativo
23/09/2026;PIR-96B1E0;Benzoilmetronidazol 40mg/ml - Suspensão oral;Benzoilmetronidazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;PIR-095DB5;Besilato de Anlodipino 5mg - Comprimido;Besilato de Anlodipino;5mg;comprimido;;;;oral;ativo
23/09/2026;PIR-F3A429;Bicarbonato de Sódio 84mg/mL (8,4%) equivalente a 1mEq/mL - Solução injetável;Bicarbonato de Sódio;84mg/mL (8,4%);solução injetável;;;;injetável;ativo
23/09/2026;PIR-A30C6B;Bisacodil 5mg - Comprimido revestido de liberação retardada;Bisacodil;5mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-7203AE;Bissulfato de Clopidogrel 75mg - Comprimido revestido;Bissulfato de Clopidogrel;75mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-B24890;Brometo de Ipratrópio 0,25mg/ml - Solução para inalação;Brometo de Ipratrópio;0,25mg/ml;solução;;;;;ativo
23/09/2026;PIR-70273C;Brometo de Ipratrópio 20mcg/dose - Solução aerosol;Brometo de Ipratrópio;20mcg/dose;solução;;;;;ativo
23/09/2026;PIR-007E2E;Budesonida 32mcg - Solução para inalação oral;Budesonida;32mcg;solução;;;;;ativo
23/09/2026;PIR-DD64AC;Budesonida 50mcg - Solução para inalação oral;Budesonida;50mcg;solução;;;;;ativo
23/09/2026;PIR-269181;Budesonida 64mcg - Solução para inalação oral;Budesonida;64mcg;solução;;;;;ativo
23/09/2026;PIR-EF4AEE;Butilbrometo de Escopolamina + Dipirona 10mg + 250mg - Comprimido revestido;Butilbrometo de Escopolamina + Dipirona;10mg + 250mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-EEE66A;Butilbrometo de Escopolamina 10mg - Comprimido revestido;Butilbrometo de Escopolamina;10mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-573A95;Captopril 25mg - Comprimido;Captopril;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-EF4C31;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;;;oral;ativo
23/09/2026;PIR-D3A908;Carbamazepina 20mg/ml - Suspensão oral;Carbamazepina;20mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;PIR-3524A2;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;;;oral;ativo
23/09/2026;PIR-EA786F;Carmelose Sódica 5mg/ml - Solução oftálmica;Carmelose Sódica;5mg/ml;solução oftálmica;;;;oftálmica;ativo
23/09/2026;PIR-F61140;Carvedilol 12,5mg - Comprimido;Carvedilol;12,5mg;comprimido;;;;oral;ativo
23/09/2026;PIR-FBD048;Carvedilol 25mg - Comprimido;Carvedilol;25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-5AB2A4;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;;;oral;ativo
23/09/2026;PIR-F1E79F;Carvedilol 6,25mg - Comprimido;Carvedilol;6,25mg;comprimido;;;;oral;ativo
23/09/2026;PIR-C3D952;Carvão Ativado - Pó para suspensão oral;Carvão Ativado;;pó para suspensão oral;;;;oral;ativo
23/09/2026;PIR-3F5EE7;Cefalexina 500mg - Comprimido revestido;Cefalexina;500mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-172C98;Cefalexina 50mg/ml - Pó para suspensão oral;Cefalexina;50mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;PIR-14B99F;Ceftriaxona 1g - Pó para solução injetável;Ceftriaxona;1g;pó para solução injetável;;;;injetável;ativo
23/09/2026;PIR-A9C9CC;Ceftriaxona 1g - Pó para suspensão injetável;Ceftriaxona;1g;pó para suspensão injetável;;;;injetável;ativo
23/09/2026;PIR-A3D88E;Cetoconazol 20mg/ml - Xampu;Cetoconazol;20mg/ml;xampu;;;;tópica;ativo
23/09/2026;PIR-B1EC1F;Cetoprofeno 100mg - Pó para solução injetável;Cetoprofeno;100mg;pó para solução injetável;;;;injetável;ativo
23/09/2026;PIR-D2D8EE;Cilostazol 100mg - Comprimido;Cilostazol;100mg;comprimido;;;;oral;ativo
23/09/2026;PIR-A8DE5D;Claritromicina 500mg - Comprimido revestido;Claritromicina;500mg;comprimido revestido;;;;oral;ativo
23/09/2026;PIR-992BE6;Clonazepam 2,5mg/ml - Solução oral;Clonazepam;2,5mg/ml;solução oral;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;PIR-E050EA;Cloreto de Potássio 191mg/ml (19,1%) - Solução injetável;Cloreto de Potássio;191mg/ml (19,1%);solução injetável;;;;injetável;ativo
23/09/2026;PIR-BFED8A;Cloreto de Sódio 200mg/ml (20%) - Solução injetável;Cloreto de Sódio;200mg/ml (20%);solução injetável;;;;injetável;ativo
23/09/2026;PIR-667EF3;Cloreto de Sódio 9mg/ml (0,9%) - Solução injetável;Cloreto de Sódio;9mg/ml (0,9%);solução injetável;;;;injetável;ativo
