remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;SET-4AB0AA;Aciclovir 200mg;Aciclovir;200mg;;;;;;ativo
23/09/2026;SET-395335;Aciclovir 50mg/g 5%;Aciclovir;50mg/g;;;;;;ativo
23/09/2026;SET-846A13;Ácido Acetil Salicílico 100mg;Ácido Acetil Salicílico;100mg;;;;;;ativo
23/09/2026;SET-9D3510;Ácido Fólico 5mg;Ácido Fólico;5mg;;;;;;ativo
23/09/2026;SET-4C49CD;Ácido Folínico 15mg;Ácido Folínico;15mg;;;;;;ativo
23/09/2026;SET-C8E96A;Ácido Valproico 250mg;Ácido Valproico;250mg;;;;;;ativo
23/09/2026;SET-52AF11;Ácido Valproico 250mg/5mL;Ácido Valproico;250mg/5mL;;;;;;ativo
23/09/2026;SET-79997C;Ácido Valproico 500mg;Ácido Valproico;500mg;;;;;;ativo
23/09/2026;SET-192CA8;Agulha para Caneta de Insulina;Agulha para Caneta de Insulina;;;;;;;ativo
23/09/2026;SET-C4632F;Albendazol 400mg;Albendazol;400mg;;;;;;ativo
23/09/2026;SET-7FA218;Albendazol 40mg/mL - Suspensão;Albendazol;40mg/mL;suspensão;;;;;ativo
23/09/2026;SET-81F5DA;Alendronato de Sódio 70mg;Alendronato de Sódio;70mg;;;;;;ativo
23/09/2026;SET-3156AE;Algestona Acetofenida 150mg/mL + Enantato de Estradiol 10mg/mL - Ampola;Algestona Acetofenida;150mg/mL;;Ampola;;;;ativo
23/09/2026;SET-4F96E1;Alopurinol 100mg;Alopurinol;100mg;;;;;;ativo
23/09/2026;SET-6CE3D1;Alopurinol 300mg;Alopurinol;300mg;;;;;;ativo
23/09/2026;SET-D7C2A0;Amiodarona 200mg;Amiodarona;200mg;;;;;;ativo
23/09/2026;SET-5CE283;Amitriptilina 25mg;Amitriptilina;25mg;;;;;;ativo
23/09/2026;SET-CE9DF9;Amox. + Clav. 250mg + 62,5mg/5mL - Suspensão;Amox. + Clav.;250mg + 62,5mg;suspensão;;;;;ativo
23/09/2026;SET-E7CF48;Amox. + Clav. 500mg + 125mg;Amox. + Clav.;500mg + 125mg;;;;;;ativo
23/09/2026;SET-2056A9;Amoxicilina 250mg/5mL - Pó Suspensão;Amoxicilina;250mg/5mL;pó;;;;;ativo
23/09/2026;SET-6EAB0E;Amoxicilina 500mg;Amoxicilina;500mg;;;;;;ativo
23/09/2026;SET-A0F48B;Anlodipino 5mg;Anlodipino;5mg;;;;;;ativo
23/09/2026;SET-2BF994;Atenolol 50mg;Atenolol;50mg;;;;;;ativo
23/09/2026;SET-C04057;Azatioprina 50mg;Azatioprina;50mg;;;;;;ativo
23/09/2026;SET-67ED9D;Azitromicina 500mg;Azitromicina;500mg;;;;;;ativo
23/09/2026;SET-6EC25D;Azitromicina 600mg - Suspensão;Azitromicina;600mg;suspensão;;;;;ativo
23/09/2026;SET-27E4FB;Beclometasona 200mcg - Spray Oral;Beclometasona;200mcg;spray;;;;;ativo
23/09/2026;SET-ABF0E5;Beclometasona 250mcg - Spray Oral;Beclometasona;250mcg;spray;;;;;ativo
23/09/2026;SET-0089A2;Beclometasona 50mcg - Spray Oral;Beclometasona;50mcg;spray;;;;;ativo
23/09/2026;SET-7B0471;Benzilpenicilina Benzatina 1.200.000 UI;Benzilpenicilina Benzatina;1.200.000 UI;;;;;;ativo
23/09/2026;SET-0D1649;Biperideno 2mg;Biperideno;2mg;;;;;;ativo
23/09/2026;SET-C27BFC;Budesonida 50mcg;Budesonida;50mcg;;;;;;ativo
