remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;VAR-6FE352;Acetilcisteína 40mg/ml - Xarope;Acetilcisteína;40mg/ml;xarope;;;;oral;ativo
23/09/2026;VAR-4EF3BF;Aciclovir 400mg - Comprimido;Aciclovir;400mg;comprimido;;;;oral;ativo
23/09/2026;VAR-318E90;Albendazol 400mg - Comprimido Mastigável;Albendazol;400mg;comprimido mastigável;;;;oral;ativo
23/09/2026;VAR-A20AE0;Albendazol 40mg/ml - Suspensão Oral;Albendazol;40mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-A3F1AF;Alendronato 70mg - Comprimido;Alendronato;70mg;comprimido;;;;oral;ativo
23/09/2026;VAR-211022;Alopurinol 100mg - Comprimido;Alopurinol;100mg;comprimido;;;;oral;ativo
23/09/2026;VAR-A0C8C9;Alopurinol 300mg - Comprimido;Alopurinol;300mg;comprimido;;;;oral;ativo
23/09/2026;VAR-AF5137;Aminofilina 100mg - Comprimido;Aminofilina;100mg;comprimido;;;;oral;ativo
23/09/2026;VAR-515157;Amiodarona 200mg - Comprimido;Amiodarona;200mg;comprimido;;;;oral;ativo
23/09/2026;VAR-D033AD;Amitriptilina 25mg - Comprimido;Amitriptilina;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-909092;Amoxicilina + Clavulanato 500mg+125mg - Comprimido;Amoxicilina + Clavulanato;500mg +125mg;comprimido;;;;oral;ativo
23/09/2026;VAR-B134BD;Amoxicilina + Clavulanato 50mg/ml+12,5mg/ml - Suspensão Oral;Amoxicilina + Clavulanato;50mg/ml +12,5mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-E65322;Amoxicilina 500mg - Cápsula;Amoxicilina;500mg;cápsula;;;;oral;ativo
23/09/2026;VAR-F0B4C0;Amoxicilina 50mg/ml - Suspensão Oral;Amoxicilina;50mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-57E203;Anlodipino 10mg - Comprimido;Anlodipino;10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-C8E310;Anlodipino 5mg - Comprimido;Anlodipino;5mg;comprimido;;;;oral;ativo
23/09/2026;VAR-336E6F;Atenolol 25mg - Comprimido;Atenolol;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-ED7597;Atenolol 50mg - Comprimido;Atenolol;50mg;comprimido;;;;oral;ativo
23/09/2026;VAR-CE8EEC;Azitromicina 40mg/ml - Pó para Suspensão Oral;Azitromicina;40mg/ml;pó para suspensão oral;;;;oral;ativo
23/09/2026;VAR-C5035E;Azitromicina 500mg - Comprimido;Azitromicina;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-1A8422;Beclometasona 250mcg/dose - Aerossol Oral;Beclometasona;250mcg/dose;aerossol;;;;inalatória;ativo
23/09/2026;VAR-7559CF;Beclometasona 50mcg/dose - Aerossol Oral;Beclometasona;50mcg/dose;aerossol;;;;inalatória;ativo
23/09/2026;VAR-47B785;Benzilpenicilina Benzatina 1.200.000UI - Pó para Suspensão Injetável;Benzilpenicilina Benzatina;1.200.000UI;pó para suspensão injetável;;;;injetável;ativo
23/09/2026;VAR-3816D5;Betaistina 24mg - Comprimido;Betaistina;24mg;comprimido;;;;oral;ativo
23/09/2026;VAR-C9B236;Biperideno 2mg - Comprimido;Biperideno;2mg;comprimido;;;;oral;ativo
23/09/2026;VAR-014093;Bromazepam 3mg - Comprimido;Bromazepam;3mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;VAR-87469E;Bromazepam 6mg - Comprimido;Bromazepam;6mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;VAR-969964;Bromoprida 10mg - Comprimido;Bromoprida;10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-970381;Bromoprida 4mg/ml - Solução Oral (Gotas);Bromoprida;4mg/ml;solução oral;;;;oral;ativo
23/09/2026;VAR-0BDC7D;Budesonida 32mcg - Spray Nasal;Budesonida;32mcg;spray;;;;nasal;ativo
23/09/2026;VAR-0E7456;Bupropiona 150mg - Comprimido;Bupropiona;150mg;comprimido;;;;oral;ativo
23/09/2026;VAR-C05C3A;Carbamazepina 200mg - Comprimido;Carbamazepina;200mg;comprimido;;;;oral;ativo
23/09/2026;VAR-891011;Carbamazepina 20mg/ml - Suspensão Oral;Carbamazepina;20mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-A3313A;Carbamazepina 400mg - Comprimido;Carbamazepina;400mg;comprimido;;;;oral;ativo
23/09/2026;VAR-E8474E;Carbonato de Cálcio 1250mg (500mg Cálcio) - Comprimido;Carbonato de Cálcio;1250mg;comprimido;;;;oral;ativo
23/09/2026;VAR-583EC0;Carbonato de Lítio 300mg - Comprimido;Carbonato de Lítio;300mg;comprimido;;;;oral;ativo
23/09/2026;VAR-5446B9;Carvedilol 12,5mg - Comprimido;Carvedilol;12,5mg;comprimido;;;;oral;ativo
23/09/2026;VAR-5B1541;Carvedilol 3,125mg - Comprimido;Carvedilol;3,125mg;comprimido;;;;oral;ativo
23/09/2026;VAR-E6FD15;Cefalexina 500mg - Comprimido/Cápsula;Cefalexina;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-B8CFF5;Cefalexina 50mg/ml - Suspensão Oral;Cefalexina;50mg/ml;suspensão oral;;;;oral;ativo
23/09/2026;VAR-A8FFAB;Ceftriaxona 1g - Injetável IM;Ceftriaxona;1g;injetável;;;;injetável;ativo
23/09/2026;VAR-C8116F;Ciprofloxacino 500mg - Comprimido;Ciprofloxacino;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-27D552;Ciproterona + Etinilestradiol 2mg+0,035mg - Comprimido;Ciproterona + Etinilestradiol;2mg +0,035mg;comprimido;;;;oral;ativo
23/09/2026;VAR-DF7B43;Clindamicina 300mg - Cápsula Dura;Clindamicina;300mg;cápsula dura;;;;oral;ativo
23/09/2026;VAR-A3B0BE;Clobetasol 0,5mg/g - Creme;Clobetasol;0,5mg/g;creme;;;;tópica;ativo
23/09/2026;VAR-42AD57;Clomipramina 25mg - Comprimido;Clomipramina;25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-BFB8CE;Clonazepam 2,5mg/ml - Solução Oral;Clonazepam;2,5mg/ml;solução oral;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;VAR-2F6744;Clonazepam 2mg - Comprimido;Clonazepam;2mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;VAR-FCD3A1;Clopidogrel 75mg - Comprimido Revestido;Clopidogrel;75mg;comprimido revestido;;;;oral;ativo
23/09/2026;VAR-0C7343;Cloreto de Sódio 0,90% - Solução Nasal;Cloreto de Sódio;0,90%;solução nasal;;;;nasal;ativo
23/09/2026;VAR-20FF93;Clotrimazol 35mg/g - Creme Vaginal;Clotrimazol;35mg/g;creme vaginal;;;;vaginal;ativo
23/09/2026;VAR-6F7F3A;Colagenase + Cloranfenicol 18UI/30mg - Creme;Colagenase + Cloranfenicol;18UI;creme;;;;tópica;ativo
23/09/2026;VAR-AFBEC1;Dapaglifozina 10mg - Comprimido;Dapaglifozina;10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-A2CE5D;Desloratadina 0,5mg/ml - Xarope;Desloratadina;0,5mg/ml;xarope;;;;oral;ativo
23/09/2026;VAR-9D88EE;Dexametasona 1mg/g (0,1%) - Creme;Dexametasona;1mg/g (0,1%);creme;;;;tópica;ativo
23/09/2026;VAR-966B7A;Diazepam 10mg - Comprimido;Diazepam;10mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;VAR-F1DDC5;Diazepam 5mg - Comprimido;Diazepam;5mg;comprimido;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;VAR-181EFA;Diclofenaco Potássico 50mg - Comprimido;Diclofenaco Potássico;50mg;comprimido;;;;oral;ativo
23/09/2026;VAR-204A76;Digoxina 0,25mg - Comprimido;Digoxina;0,25mg;comprimido;;;;oral;ativo
23/09/2026;VAR-52E618;Diltiazem 30mg - Comprimido;Diltiazem;30mg;comprimido;;;;oral;ativo
23/09/2026;VAR-3FF3D1;Diosmina + Hesperidina 450mg+50mg - Comprimido;Diosmina + Hesperidina;450mg +50mg;comprimido;;;;oral;ativo
23/09/2026;VAR-41D5EB;Dipirona 500mg - Comprimido;Dipirona;500mg;comprimido;;;;oral;ativo
23/09/2026;VAR-496066;Dipirona 500mg/ml - Solução Oral (Gotas);Dipirona;500mg/ml;solução oral;;;;oral;ativo
23/09/2026;VAR-5E1322;Dipropionato de Betametasona + Fosfato Dissódico de Betametasona 5mg/ml+2mg/ml - Ampola;Dipropionato de Betametasona + Fosfato Dissódico de Betametasona;5mg/ml +2mg/ml;;Ampola;;;;ativo
23/09/2026;VAR-3E93E3;Enalapril 10mg - Comprimido;Enalapril;10mg;comprimido;;;;oral;ativo
23/09/2026;VAR-CBE07D;Enalapril 20mg - Comprimido;Enalapril;20mg;comprimido;;;;oral;ativo
